# Displacement (mm)	Force (kN)
-0.005497	-0.001832
0.034500	0.965883
0.069000	1.811527
0.103500	2.655895
0.155250	3.922285
0.232875	5.821801
0.349313	8.670930
0.523969	12.944273
0.785953	19.349504
0.738094	18.189766
0.048094	1.331969
-0.641906	-15.558277
-0.668094	-16.216941
0.043813	1.187230
1.423813	34.720031
1.196187	28.465102
-0.183813	-3.648195
-1.563812	-37.448098
-1.056188	-24.617355
0.647625	14.549543
3.407625	71.030984
1.832375	37.814184
-0.927625	-15.722121
-3.687625	-71.758016
-1.552375	-29.885512
1.811437	32.341254
5.951437	100.355312
5.272313	86.564258
4.496063	74.500305
3.719813	62.300402
2.943563	50.085836
1.779187	31.624156
0.032625	3.511984
-2.587219	-47.761523
-5.483016	-84.924133
-2.535691	-39.464691
0.548844	7.578992
6.068844	107.373031
7.448844	109.398609
7.171156	103.959602
5.791156	84.626008
4.411156	65.338727
2.341156	36.131020
-0.763844	-8.475004
-5.421344	-87.721664
-5.921156	-83.374359
-2.428031	-34.606012
1.331367	18.774473
4.606172	69.710961
7.062275	100.580766
9.253570	124.324766
8.793050	117.678094
8.332531	111.752289
7.872011	105.799781
7.411492	99.850820
6.720713	90.880789
5.684544	77.412469
4.130291	57.139398
1.798911	26.541816
-1.698158	-20.904551
-3.009559	-41.072648
-4.976660	-67.101578
-7.927312	-102.883000
-9.859698	-121.550719
-7.646709	-93.982117
-5.433720	-66.960805
-3.220731	-39.926293
0.138253	1.923203
7.109169	102.316609
9.524170	117.720180
11.939170	141.706984
13.645830	151.245344
13.042080	143.522625
12.891143	142.136687
12.740205	140.443000
12.683603	139.812266
12.598701	138.874719
12.471348	137.441516
12.280317	135.318984
11.993773	132.115891
11.563954	127.314367
10.919227	120.108000
9.952136	109.289406
8.501500	92.994469
6.325546	68.505445
3.061615	31.514816
-1.834282	-25.432977
-9.178128	-110.974500
-9.637118	-111.307750
-10.096108	-115.827438
-10.325604	-117.773211
-10.555099	-119.637594
-10.899342	-122.263117
-11.415707	-125.926812
-12.190252	-130.698180
-13.352072	-136.582484
-13.486109	-135.444219
-13.195654	-131.815219
-12.905199	-128.364656
-12.614744	-124.918781
-12.324289	-121.475352
-11.888607	-116.368500
-11.725226	-114.528500
-11.480155	-111.673563
-11.112549	-107.460273
-10.561138	-101.323766
-9.734023	-92.529836
-8.493349	-80.052516
-6.632339	-61.295750
-3.840825	-33.400148
0.445432	10.324762
8.520885	104.862961
11.549180	124.307703
12.306254	131.251828
13.063328	137.877344
13.347231	140.118609
13.773085	143.253734
14.411865	147.031375
15.050647	149.004578
15.689427	150.145078
16.328209	151.197438
17.286381	152.363125
17.276363	150.364766
15.839106	136.331547
14.401848	122.488734
12.964591	108.595273
10.808705	87.675727
7.574876	56.129328
2.724133	8.705352
-4.551982	-67.574609
-7.280525	-84.609945
-11.373340	-113.478969
-12.396544	-117.161508
-13.419746	-119.766195
-14.954552	-122.870453
-16.489357	-124.408711
-16.873058	-123.692281
-17.256760	-122.490945
-17.832312	-120.430766
-17.304359	-109.201531
-16.009367	-93.351180
-14.714375	-80.859102
-13.419383	-70.240109
-11.476895	-59.643809
-8.563163	-43.983781
-4.192565	-20.694578
-2.553591	-11.973469
